BO Iteration,Selected SMILES,f1,f2,R2 Indicator
101,CC(C)Oc1cc(C(=O)O)cc(NC(=O)c2nc3c(s2)CN(C(C)C)CC3)c1CCC(=O)Nc1ccc(Cl)cc1,0.1592356687898089,0.1353352832366127,0.2354
102,Cc1cc(O)cc(C)c1CC(N)C(=O)N1Cc2ccccc2CC1CN=C(N)N,0.11029411764705882,1.0,0.2354
103,CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1CCOc2ccc(OC3CCCC3)cc21,0.16666666666666666,1.0,0.2354
104,CCC(CC)COC(=O)C1(C(=O)O)Oc2ccc(CC(C)NCC(O)c3cccc(Cl)c3)cc2O1,0.1506849315068493,1.0,0.2354
105,CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)O)c1,0.11666666666666667,1.0,0.2354
106,CCCCNC(=O)C1CCCN(C(=O)c2ccc(O)c(-c3ccc(Cl)c(Cl)c3)c2)C1,0.16541353383458646,1.0,0.2354
107,CCC(=O)CCCCCC(NC(=O)C1CN(C)C1)c1ncc(-c2cnc3ccccc3n2)[nH]1,0.13013698630136986,0.1353352832366127,0.2354
108,Cc1cc2c(cc(C(=O)OC(C(=O)NCC3CCCO3)C(C)C)n2C)o1,0.18181818181818182,1.0,0.2354
109,O=C(Nc1cc(Cl)cc(Cl)c1)C(NCC1CCCO1)c1ccccc1,0.0916030534351145,1.0,0.2354
110,CCOc1cccc(-c2ccc(C3CCN(S(=O)(=O)C(C)(C)C(=O)NO)CC3)cc2C)c1,0.16058394160583941,1.0,0.2354
111,Cn1cc(-c2cccc(CNC(=O)N3CCCC3CO)c2)cn1,0.12295081967213115,1.0,0.2354
112,Cc1cc(C#N)ccc1C1=CCN(S(=O)(=O)CC2(C(=O)NO)CCN(C(=O)OCC3CCCN3)CC2)CC1,0.14838709677419354,0.1353352832366127,0.2354
113,Cc1cccc(OCCNC(=O)c2cc(C3CC3)nc3c2cnn3C(C)C)c1,0.13636363636363635,0.1353352832366127,0.2354
114,COc1cc(C=NNC(=O)c2ccc(O)cc2)ccc1OCC(=O)N1CC(C)OC(C)C1,0.1258741258741259,1.0,0.2354
115,CCC(CC)C(=O)Nc1cc(NC(=O)C=Cc2ccc(O)c(O)c2)ccc1O,0.11278195488721804,1.0,0.2354
116,COC(=O)C=Cc1cccc(N(Cc2cc(OC)cc(OC)c2)C(=O)C2CCCCC2)c1,0.16546762589928057,1.0,0.2354
117,COc1ccc2oc(C(=O)OCC(=O)N3CCCC(C)C3)c(C)c2c1,0.1652892561983471,1.0,0.2354
118,COc1cccc(NS(=O)(=O)c2ccc3c(c2)CCCN3C(C)=O)c1,0.11023622047244094,1.0,0.2354
119,COc1cc(C(=O)O)ccc1Cn1ccc2ccc(NC(=O)OC3CCC3)cc21,0.15037593984962405,0.1353352832366127,0.2354
120,CCOc1ccccc1NC(=O)C(CC(C)C)NC(=O)C1CCC(C)CC1,0.226890756302521,0.1353352832366127,0.2354
121,COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc2ccc(OC)cc2)CC1,0.1232876712328767,1.0,0.2354
122,COc1ccc(CN(C)CC2CCCN(CCc3ccccc3C)C2)cc1O,0.11851851851851852,1.0,0.2354
123,Cc1ccc(S(=O)(=O)N2CCC(C(=O)OCC(=O)NC(C)c3ccc(F)cc3)CC2)cc1C,0.17391304347826086,1.0,0.2354
124,CCOC(=O)C(=O)N(c1ccc(F)cc1)C1c2cc(C#N)ccc2OC(C)(C)C1O,0.13333333333333333,1.0,0.2354
125,CCN1CC(C(=O)N2CC(C)C(O)(c3ccc(F)cc3F)C(C)C2)C(c2ccc(F)cc2F)C1,0.11564625850340136,1.0,0.2354
126,CCOC(=O)C(C(=O)NCc1ccc(F)cc1)c1ncc(C(F)(F)F)cc1Cl,0.13953488372093023,1.0,0.2354
127,O=C(COC(=O)c1ccc(Br)o1)NC1CCCc2ccccc21,0.1322314049586777,1.0,0.2354
128,CC(=O)c1cccc(C2=CC3=CC(=O)OC34CC2N2CCCCC24)c1,0.1349206349206349,0.1353352832366127,0.2354
129,Cc1cc(C(=O)N(CC(C)C)CC(O)c2ccc(F)cc2)[nH]n1,0.09836065573770492,1.0,0.2354
130,Cc1ccc(C(=O)N2CCCC(CCC(=O)NCc3ccccc3F)C2)cn1,0.14393939393939395,1.0,0.2354
131,CCOc1ccc(CCNC(=O)C2Cc3ccccc3N2C(=O)CC)cc1OCC,0.15555555555555556,1.0,0.2354
132,NC(CC(=O)N1N=CCC1C(=O)OCc1ccccc1)Cc1cc(F)c(F)cc1F,0.11510791366906475,1.0,0.2354
133,C=CCN1C=C(C(=O)OCC)C(c2ccc(O)cc2)C(C(=O)OCC)=C1,0.16260162601626016,0.1353352832366127,0.2354
134,Cc1ccc(F)cc1NC(=O)C1CCCN1C(=O)C(C)C,0.19626168224299065,0.1353352832366127,0.2354
