BO Iteration,Selected SMILES by EI,f1,f2,R2 Indicator
81,CC(C)C(NS(=O)(=O)c1cnccc1NC(CO)Cc1ccccc1)C(=O)N1CCC(CCF)CC1,0.15584415584415584,1.0,0.1937
82,CN(CC(=O)Nc1ccccc1Cl)C(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,0.20149253731343283,1.0,0.1937
83,S=C(Nc1ccc(Br)cc1Cl)NC1CCN(Cc2ccccc2)CC1,0.15503875968992248,1.0,0.1937
84,CC(C)NS(=O)(=O)c1ccc(NC2CCN(CC(O)=Nc3ccccc3)CC2)c([N+](=O)O)c1,0.14189189189189189,1.0,0.1937
85,O=S(=O)(CCC1CCNCC1)c1ccccc1-c1cccc(Cl)c1,0.1774193548387097,1.0,0.1937
86,O=C(O)COc1c(C(=O)O)sc(-c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)c1Cl,0.1830065359477124,0.1353352832366127,0.1937
87,CS(=O)(=O)CCC(C(=O)Nc1cccc(C(F)(F)F)c1)N1Cc2ccccc2C1=O,0.16058394160583941,1.0,0.1937
88,Cc1cccc2c1C(c1ccccc1)CN(C)C2,0.16216216216216217,1.0,0.1937
89,Cc1ccccc1NC(=O)C1CC(=O)N(Cc2ccccc2)C1,0.18181818181818182,1.0,0.1937
90,CN(CC(=O)Nc1ccccc1C(F)(F)F)C(=O)CN1C(=O)C2CCCCC2C1=O,0.17777777777777778,1.0,0.1937
91,CN(C(=O)CSc1nnc(COc2ccccc2F)n1N)C1CCS(=O)(=O)C1,0.19230769230769232,1.0,0.1937
92,COc1ccccc1NC(=O)CCN1C(=O)C2CC=CCC2C1=O,0.19834710743801653,1.0,0.1937
93,Cc1cc(=O)n(C(=O)C2CCc3ccccc3C2)o1,0.19090909090909092,1.0,0.1937
94,C=C=C(CC1CCCCC1=O)S(=O)(=O)c1ccccc1,0.14655172413793102,0.1353352832366127,0.1937
95,CN(Cc1ccco1)C(=O)C1CCC(=O)N(CCc2cccc(F)c2)C1,0.16153846153846155,1.0,0.1937
96,O=C(CSC1=NCCS1)Nc1cccc2ccccc12,0.15254237288135594,1.0,0.1937
97,CC(NC(=O)CO)c1ccc(OC2CCN(c3cccc(C(F)(F)F)n3)C2)cc1,0.12857142857142856,1.0,0.1937
98,O=C(C=Cc1ccccc1)N(Cc1cccs1)C1CCS(=O)(=O)C1,0.140625,1.0,0.1937
99,O=C(Cc1cccs1)N1CCN=C1SCc1cccc(F)c1,0.13709677419354838,1.0,0.1937
100,COc1cccc(OC)c1OC(=O)C1CNCCN1Cc1ccccc1,0.20634920634920634,1.0,0.1937
101,Cc1cccc2c1N(C(=O)CSc1ncccc1C(F)(F)F)CCC2,0.1484375,1.0,0.1937
102,O=C(c1ccccc1Oc1ccc(C(F)(F)F)cc1[N+](=O)[O-])N1CCOCC1,0.14814814814814814,1.0,0.1937
103,NC(CC(=O)N1CCSC1)Cc1ccccc1C(F)(F)F,0.15384615384615385,0.1353352832366127,0.1937
104,COC(=O)C1=C(c2ccc(OCc3ccccc3)c(F)c2)CC2CCC1N2C,0.256,0.1353352832366127,0.1937
105,CC(C)c1cccc(C(C)C)c1OC(=O)NS(=O)(=O)N1CCc2ccccc21,0.17557251908396945,1.0,0.1937
106,CC(C(=O)Nc1ccc(C#N)cc1)N1CCc2ccccc21,0.14754098360655737,1.0,0.1937
